"Your Order Has Been Processed","Your Order Has Been Processed"
"Order summary","Order summary"
"Save your information for next time!","Save your information for next time!"
"Tweet Order","Tweet Order"
"Share Order","Share Order"
"Your reward points","Your reward points"
"pts","pts"
"Points","Points"
"Your Rewards Balance","Your Rewards Balance"
"Value","Value"
"Redeemed","Redeemed"
"Earned","Earned"
"Previous Total","Previous Total"
"Unexpected error. Please try again later.","Unexpected error. Please try again later."
"You cannot subscribe or register in ""Preview Mode""","You cannot subscribe or register in ""Preview Mode"""
"You cannot print order in ""Preview Mode""","You cannot print order in ""Preview Mode"""
"Save your confirmation for the next time!","Save your confirmation for the next time!"
"You successfully registered","You successfully registered"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Your order # is: %1.","Your order # is: %1."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
